cycle;annotator_1;annotator_2
0;01;02
0;03;04
0;05;06
1;01;03
1;02;05
1;04;06
2;01;04
2;02;06
2;03;05
3;01;05
3;02;04
3;03;06
4;01;06
4;02;03
4;04;05
