order;doc_id;assigned;nr_sens_calculated;nr_sens
0;7799;False;False;-1
1;7443;False;False;-1
2;7545;False;False;-1
3;7702;False;False;-1
4;7408;False;False;-1
5;7531;False;False;-1
6;7272;False;False;-1
7;7181;False;False;-1
8;8159;False;False;-1
9;7774;False;False;-1
